"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Gesamt_Inzidenz"
2010,"853","männlich",17.92,7.26,965.7,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",-3.62,NA,65.8,94.3,15.4766666666667,29.82
2010,"853","weiblich",11.9,7.26,965.7,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",-3.62,NA,65.8,94.3,15.4766666666667,29.82
2011,"853","männlich",20.44,9.39,749.8,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.733333333333333,-3.62,79.5,119.7,15.3533333333333,49.86
2011,"853","weiblich",29.42,9.39,749.8,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",0.733333333333333,-3.62,79.5,119.7,15.3533333333333,49.86
2012,"853","männlich",9.43,8.78,729.4,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",-0.993333333333333,0.733333333333333,76.2,89.2333333333333,15.8,24.68
2012,"853","weiblich",15.25,8.78,729.4,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",-0.993333333333333,0.733333333333333,76.2,89.2333333333333,15.8,24.68
2013,"853","männlich",15.32,8.11,830,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.166666666666667,-0.993333333333333,163.9,122.733333333333,15.2866666666667,30.58
2013,"853","weiblich",15.26,8.11,830,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",0.166666666666667,-0.993333333333333,163.9,122.733333333333,15.2866666666667,30.58
2014,"853","männlich",32.85,10.08,636.7,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.48333333333333,0.166666666666667,82.55,83.2,15.5266666666667,75.32
2014,"853","weiblich",42.47,10.08,636.7,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.48333333333333,0.166666666666667,82.55,83.2,15.5266666666667,75.32
2015,"853","männlich",59.47,9.83,644.9,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.83,2.48333333333333,49.05,49.0333333333333,15.9666666666667,123.01
2015,"853","weiblich",63.54,9.83,644.9,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.83,2.48333333333333,49.05,49.0333333333333,15.9666666666667,123.01
2016,"853","männlich",64.31,9.27,729.1,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",1.72333333333333,2.83,54.35,70.1666666666667,16.3233333333333,138.67
2016,"853","weiblich",74.36,9.27,729.1,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",1.72333333333333,2.83,54.35,70.1666666666667,16.3233333333333,138.67
2017,"853","männlich",41.88,9.21,785.2,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.446666666666667,1.72333333333333,47.05,66.3666666666667,16.5766666666667,97.04
2017,"853","weiblich",55.16,9.21,785.2,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",0.446666666666667,1.72333333333333,47.05,66.3666666666667,16.5766666666667,97.04
2018,"853","männlich",52.35,10.28,507.5,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",1.06,0.446666666666667,44.4,37.2333333333333,17.6966666666667,128.36
2018,"853","weiblich",76.01,10.28,507.5,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",1.06,0.446666666666667,44.4,37.2333333333333,17.6966666666667,128.36
2019,"853","männlich",68.96,10.27,654.3,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.31,1.06,40,42.5,16.7066666666667,147.66
2019,"853","weiblich",78.7,10.27,654.3,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.31,1.06,40,42.5,16.7066666666667,147.66
2020,"853","männlich",33.9,10.27,654.5,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",3.62333333333333,2.31,61.6,50.3,15.2233333333333,61.44
2020,"853","weiblich",27.54,10.27,654.5,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",3.62333333333333,2.31,61.6,50.3,15.2233333333333,61.44
2021,"853","männlich",54,8.65,838.9,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.816666666666667,3.62333333333333,96.45,107.7,15.8233333333333,134.66
2021,"853","weiblich",80.66,8.65,838.9,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",0.816666666666667,3.62333333333333,96.45,107.7,15.8233333333333,134.66
2022,"853","männlich",42.39,10.2,688.5,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.29666666666667,0.816666666666667,26.9,31.6333333333333,17.4333333333333,90.05
2022,"853","weiblich",47.66,10.2,688.5,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.29666666666667,0.816666666666667,26.9,31.6333333333333,17.4333333333333,90.05
2023,"853","männlich",10.6,10.33,839.9,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.86,2.29666666666667,47.7,50.9666666666667,16.5466666666667,35.23
2023,"853","weiblich",24.63,10.33,839.9,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.86,2.29666666666667,47.7,50.9666666666667,16.5466666666667,35.23
2024,"853","männlich",8.15,NA,NA,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",NA,NA,NA,NA,NA,22.45
2024,"853","weiblich",14.3,NA,NA,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",NA,NA,NA,NA,NA,22.45
2010,"3166","männlich",14.99,5.8,1038.1,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-4.82333333333333,NA,90.3,98.6,13.9466666666667,35.73
