"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Inzidenz_log","Gesamt_Inzidenz"
2011,"853","männlich",20,9.39,749.8,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.733333333333333,-3.62,79.5,119.7,15.3533333333333,3.04452243772342,49
2011,"853","weiblich",29,9.39,749.8,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",0.733333333333333,-3.62,79.5,119.7,15.3533333333333,3.40119738166216,49
2012,"853","männlich",9,8.78,729.4,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",-0.993333333333333,0.733333333333333,76.2,89.2333333333333,15.8,2.30258509299405,24
2012,"853","weiblich",15,8.78,729.4,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",-0.993333333333333,0.733333333333333,76.2,89.2333333333333,15.8,2.77258872223978,24
2013,"853","männlich",15,8.11,830,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.166666666666667,-0.993333333333333,163.9,122.733333333333,15.2866666666667,2.77258872223978,30
2013,"853","weiblich",15,8.11,830,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",0.166666666666667,-0.993333333333333,163.9,122.733333333333,15.2866666666667,2.77258872223978,30
2014,"853","männlich",33,10.08,636.7,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.48333333333333,0.166666666666667,82.55,83.2,15.5266666666667,3.52636052461616,75
2014,"853","weiblich",42,10.08,636.7,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.48333333333333,0.166666666666667,82.55,83.2,15.5266666666667,3.76120011569356,75
2015,"853","männlich",59,9.83,644.9,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.83,2.48333333333333,49.05,49.0333333333333,15.9666666666667,4.0943445622221,123
2015,"853","weiblich",64,9.83,644.9,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.83,2.48333333333333,49.05,49.0333333333333,15.9666666666667,4.17438726989564,123
2016,"853","männlich",64,9.27,729.1,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",1.72333333333333,2.83,54.35,70.1666666666667,16.3233333333333,4.17438726989564,138
2016,"853","weiblich",74,9.27,729.1,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",1.72333333333333,2.83,54.35,70.1666666666667,16.3233333333333,4.31748811353631,138
2017,"853","männlich",42,9.21,785.2,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.446666666666667,1.72333333333333,47.05,66.3666666666667,16.5766666666667,3.76120011569356,97
2017,"853","weiblich",55,9.21,785.2,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",0.446666666666667,1.72333333333333,47.05,66.3666666666667,16.5766666666667,4.02535169073515,97
2018,"853","männlich",52,10.28,507.5,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",1.06,0.446666666666667,44.4,37.2333333333333,17.6966666666667,3.97029191355212,128
2018,"853","weiblich",76,10.28,507.5,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",1.06,0.446666666666667,44.4,37.2333333333333,17.6966666666667,4.34380542185368,128
2019,"853","männlich",69,10.27,654.3,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",2.31,1.06,40,42.5,16.7066666666667,4.24849524204936,148
2019,"853","weiblich",79,10.27,654.3,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",2.31,1.06,40,42.5,16.7066666666667,4.38202663467388,148
2020,"853","männlich",34,10.27,654.5,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",3.62333333333333,2.31,61.6,50.3,15.2233333333333,3.55534806148941,62
2020,"853","weiblich",28,10.27,654.5,"14511","Chemnitz, Stadt",248563,-0.05,125885,"Sachsen",3.62333333333333,2.31,61.6,50.3,15.2233333333333,3.36729582998647,62
2021,"853","männlich",54,8.65,838.9,"14511","Chemnitz, Stadt",248563,-0.05,122678,"Sachsen",0.816666666666667,3.62333333333333,96.45,107.7,15.8233333333333,4.00733318523247,135
